epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,20271.8,1.65301,1.94824,1.6847,0.38396,0.33647,0.31848,0.14513,1.90683,2.11018,1.97302,0.000132098,0.000132098,0.000132098
91,20497.6,1.66435,1.90511,1.75433,0.38996,0.33399,0.31713,0.14343,1.90969,2.1155,1.97053,0.000121099,0.000121099,0.000121099
92,20723.5,1.64907,1.88474,1.74975,0.40389,0.3283,0.32114,0.14423,1.9076,2.11221,1.96529,0.0001101,0.0001101,0.0001101
93,20949,1.6319,1.86675,1.73504,0.3884,0.32554,0.32389,0.14617,1.90543,2.10393,1.97101,9.91012e-05,9.91012e-05,9.91012e-05
94,21173.8,1.62414,1.81065,1.71586,0.38971,0.33154,0.32363,0.1446,1.90608,2.1096,1.97328,8.81023e-05,8.81023e-05,8.81023e-05
95,21399,1.62189,1.83161,1.71958,0.39253,0.33054,0.32701,0.14491,1.91244,2.10111,1.98164,7.71034e-05,7.71034e-05,7.71034e-05
96,21623.7,1.61175,1.81757,1.71898,0.38349,0.33963,0.3257,0.14398,1.91438,2.09767,1.98459,6.61045e-05,6.61045e-05,6.61045e-05
97,21848.8,1.60562,1.7999,1.71012,0.39449,0.3278,0.32346,0.14232,1.92079,2.10598,1.99047,5.51056e-05,5.51056e-05,5.51056e-05
98,22074,1.60856,1.80828,1.71599,0.39576,0.32182,0.32388,0.14374,1.91851,2.10267,1.98898,4.41067e-05,4.41067e-05,4.41067e-05
99,22299.2,1.5963,1.79582,1.70977,0.40758,0.31966,0.32608,0.14396,1.92065,2.10906,1.9902,3.31078e-05,3.31078e-05,3.31078e-05
100,22524.1,1.59391,1.78059,1.70799,0.40484,0.32586,0.32481,0.14367,1.92166,2.10793,1.9916,2.21089e-05,2.21089e-05,2.21089e-05
